"age","sex","quantile","value","unit","lab"
34,"female",0.97,11.6880893617021,"x10E3/uL","WBC"
34,"female",0.99,14.2567999999998,"x10E3/uL","WBC"
34,"female",1,NA,"x10E3/uL","WBC"
35,"female",0,NA,"x10E3/uL","WBC"
35,"female",0.01,3.18892222222223,"x10E3/uL","WBC"
35,"female",0.03,3.73006428571429,"x10E3/uL","WBC"
35,"female",0.1,4.57053212520593,"x10E3/uL","WBC"
35,"female",0.15,4.89192610497238,"x10E3/uL","WBC"
35,"female",0.25,5.4698905109489,"x10E3/uL","WBC"
35,"female",0.35,5.89343559160305,"x10E3/uL","WBC"
35,"female",0.5,6.57232069672131,"x10E3/uL","WBC"
35,"female",0.65,7.29252114111054,"x10E3/uL","WBC"
35,"female",0.75,7.89713541666667,"x10E3/uL","WBC"
35,"female",0.85,8.78934143518518,"x10E3/uL","WBC"
35,"female",0.9,9.48419739292365,"x10E3/uL","WBC"
35,"female",0.97,11.5920522058824,"x10E3/uL","WBC"
35,"female",0.99,14.0929518518518,"x10E3/uL","WBC"
35,"female",1,NA,"x10E3/uL","WBC"
36,"female",0,NA,"x10E3/uL","WBC"
36,"female",0.01,3.19533417085427,"x10E3/uL","WBC"
36,"female",0.03,3.775775,"x10E3/uL","WBC"
36,"female",0.1,4.57117278424351,"x10E3/uL","WBC"
36,"female",0.15,4.89448288973384,"x10E3/uL","WBC"
36,"female",0.25,5.48086029411765,"x10E3/uL","WBC"
36,"female",0.35,5.89672855648536,"x10E3/uL","WBC"
36,"female",0.5,6.57981184283343,"x10E3/uL","WBC"
36,"female",0.65,7.29832111052907,"x10E3/uL","WBC"
36,"female",0.75,7.98021756978654,"x10E3/uL","WBC"
36,"female",0.85,8.79883293838863,"x10E3/uL","WBC"
36,"female",0.9,9.49638888888889,"x10E3/uL","WBC"
36,"female",0.97,11.6312916666666,"x10E3/uL","WBC"
36,"female",0.99,13.99348,"x10E3/uL","WBC"
36,"female",1,NA,"x10E3/uL","WBC"
37,"female",0,NA,"x10E3/uL","WBC"
37,"female",0.01,3.1932502617801,"x10E3/uL","WBC"
37,"female",0.03,3.74923999999999,"x10E3/uL","WBC"
37,"female",0.1,4.55131506849315,"x10E3/uL","WBC"
37,"female",0.15,4.89170481927711,"x10E3/uL","WBC"
37,"female",0.25,5.47818181818181,"x10E3/uL","WBC"
37,"female",0.35,5.89606329113924,"x10E3/uL","WBC"
37,"female",0.5,6.57848156182213,"x10E3/uL","WBC"
37,"female",0.65,7.2971679144385,"x10E3/uL","WBC"
37,"female",0.75,7.95702970297029,"x10E3/uL","WBC"
37,"female",0.85,8.79859147869674,"x10E3/uL","WBC"
37,"female",0.9,9.49715178571429,"x10E3/uL","WBC"
37,"female",0.97,11.6677454545455,"x10E3/uL","WBC"
37,"female",0.99,14.0354857142857,"x10E3/uL","WBC"
37,"female",1,NA,"x10E3/uL","WBC"
38,"female",0,NA,"x10E3/uL","WBC"
38,"female",0.01,3.19349662921348,"x10E3/uL","WBC"
38,"female",0.03,3.75277,"x10E3/uL","WBC"
38,"female",0.1,4.57062255358807,"x10E3/uL","WBC"
38,"female",0.15,4.89497125567322,"x10E3/uL","WBC"
38,"female",0.25,5.48145363408521,"x10E3/uL","WBC"
38,"female",0.35,5.89639508809397,"x10E3/uL","WBC"
38,"female",0.5,6.58069945355191,"x10E3/uL","WBC"
38,"female",0.65,7.29776685714286,"x10E3/uL","WBC"
38,"female",0.75,7.96025641025641,"x10E3/uL","WBC"
38,"female",0.85,8.79803098927294,"x10E3/uL","WBC"
38,"female",0.9,9.48625159914712,"x10E3/uL","WBC"
38,"female",0.97,11.5923292307692,"x10E3/uL","WBC"
38,"female",0.99,13.8920979310345,"x10E3/uL","WBC"
38,"female",1,NA,"x10E3/uL","WBC"
39,"female",0,NA,"x10E3/uL","WBC"
39,"female",0.01,3.19373947368421,"x10E3/uL","WBC"
39,"female",0.03,3.72195454545454,"x10E3/uL","WBC"
39,"female",0.1,4.57088289962825,"x10E3/uL","WBC"
39,"female",0.15,4.89436228482003,"x10E3/uL","WBC"
39,"female",0.25,5.48079756226815,"x10E3/uL","WBC"
39,"female",0.35,5.89924381054898,"x10E3/uL","WBC"
39,"female",0.5,6.58130711393869,"x10E3/uL","WBC"
39,"female",0.65,7.29748481501933,"x10E3/uL","WBC"
39,"female",0.75,7.90710526315789,"x10E3/uL","WBC"
39,"female",0.85,8.79656363636364,"x10E3/uL","WBC"
39,"female",0.9,9.49094562647754,"x10E3/uL","WBC"
39,"female",0.97,11.5931775362319,"x10E3/uL","WBC"
39,"female",0.99,13.9398333333332,"x10E3/uL","WBC"
39,"female",1,NA,"x10E3/uL","WBC"
40,"female",0,NA,"x10E3/uL","WBC"
40,"female",0.01,3.19733723404255,"x10E3/uL","WBC"
40,"female",0.03,3.78285795309168,"x10E3/uL","WBC"
40,"female",0.1,4.57463652802893,"x10E3/uL","WBC"
40,"female",0.15,4.8982576,"x10E3/uL","WBC"
40,"female",0.25,5.48283763277694,"x10E3/uL","WBC"
40,"female",0.35,5.89837202380952,"x10E3/uL","WBC"
40,"female",0.5,6.58231174302264,"x10E3/uL","WBC"
40,"female",0.65,7.29952335456476,"x10E3/uL","WBC"
40,"female",0.75,7.95886597938144,"x10E3/uL","WBC"
40,"female",0.85,8.79265222101842,"x10E3/uL","WBC"
40,"female",0.9,9.4715,"x10E3/uL","WBC"
40,"female",0.97,11.4651,"x10E3/uL","WBC"
40,"female",0.99,13.594412,"x10E3/uL","WBC"
40,"female",1,NA,"x10E3/uL","WBC"
20,"female",0,NA,"x10E6/uL","RBC"
